Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
Q18	38.007	47.373	0.000	DMN2050L	SOT23	TOP
D2	23.929	7.210	180.000	RED	L0805	TOP
Q21	25.544	47.290	0.000	DMN2050L	SOT23	TOP
R1	21.081	1.349	180.000	160	R0603	BOTTOM
C14	31.277	36.140	180.000	1uF	C0603	TOP
R18	57.038	19.975	0.000	6.8	R0603	TOP
J15	46.935	58.840	0.000	MICROMATCH-4	AMP7-188275-4	TOP
J26	15.562	27.584	270.000	PAD-3x2	PAD_3x2	TOP
J25	17.415	59.497	180.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
Q11	59.119	31.991	180.000	DMN2050L	SOT23	BOTTOM
C19	62.301	47.711	270.000	10uF	C0805	BOTTOM
C9	44.916	42.488	0.000	100nF	C0603	BOTTOM
L9	54.939	45.289	0.000	ILHB0805ER601V	L080510	BOTTOM
U3	58.461	46.917	0.000	CS4344-CZZ	MS10_050_30_30_110	TOP
J13	59.290	26.005	270.000	MICROMATCH-4	AMP7-188275-4	TOP
J9	4.728	21.883	270.000	PAD-3x2	PAD_3x2	TOP
R28	30.866	22.871	0.000	1.8	R2512	BOTTOM
C6	35.302	31.609	90.000	100nF	C0603	BOTTOM
Q1	37.258	13.208	270.000	DMN2050L	SOT23	BOTTOM
C33	42.765	32.313	270.000	10uF	C0603	BOTTOM
R2	24.079	7.438	180.000	160	R0603	BOTTOM
R7	62.881	45.906	180.000	10K	R0603	TOP
C21	58.326	49.889	0.000	10uF	C0603	BOTTOM
C35	39.271	38.719	90.000	2.2uF	C0603	BOTTOM
R22	30.094	62.031	90.000	6.8	R0603	BOTTOM
Q8	52.315	19.306	180.000	DMN2050L	SOT23	BOTTOM
C24	8.609	24.940	0.000	33pF	C0603	BOTTOM
L3	25.387	39.351	90.000	18uH	L0805	TOP
Q9	52.946	30.074	270.000	DMN2050L	SOT23	TOP
STM32	40.011	37.267	0.000	STM32F405RGT6	LQFP064_050_1215_1215_160	TOP
C12	58.472	45.638	180.000	1uF	C0603	BOTTOM
R19	63.260	31.914	90.000	6.8	R0603	BOTTOM
U2	20.729	16.425	270.000	RN42-I/RM	RN42	BOTTOM
C13	35.238	42.023	90.000	4.7nF	C0603	BOTTOM
R10	52.590	36.402	270.000	2.2	R2512	BOTTOM
R23	54.688	47.781	0.000	470	R0603	TOP
J18	36.349	3.258	0.000	JUMPER 3PTS	BAR03P2.54/W2.54	TOP
C5	61.583	43.673	180.000	100nF	C0603	TOP
R20	49.399	60.687	90.000	6.8	R0603	BOTTOM
R11	60.592	36.013	180.000	2.2	R2512	BOTTOM
J22	54.410	12.252	270.000	DC JACK 2.5	DC_JACK	TOP
C10	40.857	32.309	270.000	100nF	C0603	BOTTOM
J24	15.562	30.480	270.000	PAD-3x2	PAD_3x2	TOP
J21	44.480	9.239	0.000	JUMPER 3PTS	BAR03P2.54/W2.54	TOP
Q22	29.717	47.292	0.000	DMN2050L	SOT23	TOP
C28	21.288	21.275	0.000	33pF	C0603	BOTTOM
Q20	30.094	59.181	180.000	DMN2050L	SOT23	BOTTOM
R21	39.933	61.805	90.000	6.8	R0603	BOTTOM
R24	62.876	47.771	180.000	470	R0603	TOP
J19	46.900	3.348	0.000	JUMPER 3PTS	BAR03P2.54/W2.54	TOP
R14	35.901	51.175	0.000	2.2	R2512	TOP
J27	23.206	26.682	90.000	PAD-3x2	PAD_3x2	TOP
J12	25.842	3.278	0.000	JUMPER 3PTS	BAR03P2.54/W2.54	TOP
R12	45.316	51.221	0.000	2.2	R2512	BOTTOM
C23	28.276	39.402	90.000	33pF	C0603	BOTTOM
C39	31.181	33.901	0.000	100nF	C0603	TOP
FDC2	27.335	28.923	180.000	FDC2214RGHT	QFN16E_050_400_400_81	TOP
C17	19.085	30.687	180.000	10uF	C0603	TOP
J6	4.728	19.061	90.000	PAD-3x2	PAD_3x2	TOP
R16	26.628	51.150	180.000	2.2	R2512	TOP
C30	12.142	23.873	90.000	33pF	C0603	BOTTOM
Q3	37.247	21.194	270.000	DMN2050L	SOT23	BOTTOM
R5	48.484	22.874	270.000	10K	R0603	TOP
Q16	42.647	47.029	0.000	DMN2050L	SOT23	TOP
Q2	24.205	15.810	180.000	DMN2050L	SOT23	TOP
J7	23.461	43.214	0.000	PAD-3x2	PAD_3x2	TOP
D1	21.207	1.525	180.000	GREEN	L0805	TOP
U1	13.204	43.234	90.000	AMW006	AMW006	TOP
J3	28.615	43.328	0.000	PAD-3x2	PAD_3x2	TOP
C20	61.590	43.674	180.000	10uF	C0603	BOTTOM
U4	42.984	18.176	0.000	NCP1117LPST33T3G	SOT223	TOP
C2	19.098	30.680	180.000	100nF	C0603	BOTTOM
L6	21.217	23.951	0.000	18uH	L0805	TOP
QZ1	39.036	26.277	0.000	25 MHz	SM49US	TOP
Q17	39.949	58.955	180.000	DMN2050L	SOT23	BOTTOM
J2	2.342	40.693	270.000	U.FL-R-SMT01	U.FL-R-SMT01	TOP
J31	19.786	18.526	270.000	PAD-3x2	PAD_3x2	TOP
R9	59.211	23.301	90.000	2.2	R2512	BOTTOM
L1	28.271	39.351	270.000	18uH	L0805	TOP
R25	24.184	11.295	180.000	3.6	R2010W	BOTTOM
R17	26.645	51.109	0.000	2.2	R2512	BOTTOM
C18	8.727	56.381	0.000	10uF	C0603	BOTTOM
J8	25.964	43.264	0.000	PAD-3x2	PAD_3x2	TOP
R15	35.880	51.180	180.000	2.2	R2512	BOTTOM
R4	37.951	36.419	0.000	3K	R0603	BOTTOM
C15	54.787	48.495	270.000	10uF	C0805	BOTTOM
Q4	37.237	17.206	270.000	DMN2050L	SOT23	BOTTOM
R6	54.684	45.883	0.000	10K	R0603	TOP
J20	57.393	3.302	0.000	JUMPER 3PTS	BAR03P2.54/W2.54	TOP
R8	53.017	25.179	270.000	2.2	R2512	BOTTOM
