Ref Des	Quantity	Value	Part Label	Part Number	Description	Distributor code	Option	Place
R18	1	6.8 	RES_6.8_0603	00-0022	Resistor 6.8 ohms / 5% / case 0603	Fa : 2059544	 	 
R19	1	6.8 	RES_6.8_0603	00-0022	Resistor 6.8 ohms / 5% / case 0603	Fa : 2059544	 	 
R20	1	6.8 	RES_6.8_0603	00-0022	Resistor 6.8 ohms / 5% / case 0603	Fa : 2059544	 	 
R21	1	6.8 	RES_6.8_0603	00-0022	Resistor 6.8 ohms / 5% / case 0603	Fa : 2059544	 	 
R22	1	6.8 	RES_6.8_0603	00-0022	Resistor 6.8 ohms / 5% / case 0603	Fa : 2059544	 	 
R1	1	160 	RES_160_0603	00-0055	Resistor 160 ohms / 5% / case 0603	Fa : 2447260	 	 
R2	1	160 	RES_160_0603	00-0055	Resistor 160 ohms / 5% / case 0603	Fa : 2447260	 	 
R23	1	470 	RES_470_0603	00-0066	Resistor 470 ohms / 5% / case 0603	Fa : 2447374	 	 
R24	1	470 	RES_470_0603	00-0066	Resistor 470 ohms / 5% / case 0603	Fa : 2447374	 	 
R4	1	3K 	RES_3.0k_0603	00-0085	Resistor 3.0k ohms / 5% / case 0603	Fa : 9330976	 	 
R29	1	3K 	RES_3.0k_0603	00-0085	Resistor 3.0k ohms / 5% / case 0603	Fa : 9330976	 	 
R5	1	10K 	RES_10k_0603	00-0098	Resistor 10k ohms / 5% / case 0603	Fa : 9331700	 	 
R6	1	10K 	RES_10k_0603	00-0098	Resistor 10k ohms / 5% / case 0603	Fa : 9331700	 	 
R7	1	10K 	RES_10k_0603	00-0098	Resistor 10k ohms / 5% / case 0603	Fa : 9331700	 	 
R8	1	2.2 	RES_2.2_2512	03-0013	Resistor 2.2 ohms, 1%, 1W, case 2512	Fa : 1265193	 	 
R9	1	2.2 	RES_2.2_2512	03-0013	Resistor 2.2 ohms, 1%, 1W, case 2512	Fa : 1265193	 	 
